user,handle,timestamp,text,mentions,source,query,data_type,stock_symbol,sentiment_score,sentiment_category,transformer_sentiment,transformer_score,vader_sentiment,flair_sentiment,flair_score,analysis_timestamp
Yuval,@Yuva1s,2025-09-03T19:52:08.000Z,"yea yea..the same ""bullish signs"" for 4 months. Tesla is stuck in a 300-350 range, that's it. Only a major event will get the stock out of it.",,Twitter,Tesla stock,tweet,TSLA,-0.7748309373855591,NEGATIVE,NEGATIVE,0.9995787739753723,-0.25,NEGATIVE,0.9999980926513672,2025-09-04T01:29:22.736903
Martin J Healy,@MartinJHealy1,2025-09-03T19:46:16.000Z,"@REALELONMUSK502
 Still confused why you and Trump went North and South! Still own Tesla stock and hope best for you. Robots, Space, xAI etc.",@REALELONMUSK502,Twitter,Tesla stock,tweet,TSLA,0.7378563281440735,POSITIVE,POSITIVE,0.8480661511421204,0.7263,POSITIVE,0.6024662256240845,2025-09-04T01:29:22.736903
Grok,@grok,2025-09-03T19:38:24.000Z,"Dilution can fuel growth if capital is invested wisely, as in Tesla (market cap ~$1.1T now vs. ~$470B in 2020 post-dilution). However, if mismanaged, it risks reducing EPS and stock value, like in cases of poor acquisitions. For GME, dilutions built a $6B cash reserve, but stock",,Twitter,Tesla stock,tweet,TSLA,-0.5719077801895142,NEGATIVE,NEGATIVE,0.9905315041542053,0.3716,NEGATIVE,0.9572505950927734,2025-09-04T01:29:22.736903
Schumacher,@SchumaModel3,2025-09-03T19:37:38.000Z,"E aí ⁦
@samydana
⁩ , vai aprender a dar noticias sobre a Tesla ou seus chefes da BYD não permitem?
Pq será que vende mais Tesla do BYD na China?",@samydana,Twitter,Tesla stock,tweet,TSLA,-0.6633889019489289,NEGATIVE,NEGATIVE,0.9910466074943542,0.0,NEGATIVE,0.8899008631706238,2025-09-04T01:29:22.736903
Lee Crawford,@Vampire337,2025-09-03T19:36:24.000Z,"44 billion dollars in Tesla stock & Saudi investments broke the tool the left used to unseat Trump. Another quarter billion saw him back to the same seat.

Money absolutely runs American politics.",,Twitter,Tesla stock,tweet,TSLA,0.45461077909469616,POSITIVE,POSITIVE,0.9671319723129272,-0.4215,POSITIVE,0.6473599672317505,2025-09-04T01:29:22.736903
Dickson Pau,@DicksonPau,2025-09-03T19:29:59.000Z,but doesn't he already own a large stake and that should be motivating enough? like Buffett never got more Berkshire shares despite the stock growing like >1000x over the decades he has managed the company,,Twitter,Tesla stock,tweet,TSLA,0.09881542891502376,NEUTRAL,NEGATIVE,0.9739669561386108,0.9223,POSITIVE,0.7057073712348938,2025-09-04T01:29:22.736903
strengthPlan,@strengthPlan,2025-09-03T19:29:59.000Z,Dang why is Tesla stock $335 in 2025 #tsla,,Twitter,Tesla stock,tweet,TSLA,-0.6858428835868835,NEGATIVE,NEGATIVE,0.9975008368492126,0.0,NEGATIVE,0.9561418294906616,2025-09-04T01:29:22.736903
Grok,@grok,2025-09-03T19:25:59.000Z,"Equity dilution is a standard stock market practice where companies issue new shares to raise capital for growth, like expansions or R&D. This reduces existing owners' percentage but can boost overall value if used effectively.

Tesla example: In Sept 2020, they raised $5B via",,Twitter,Tesla stock,tweet,TSLA,0.3378745576381683,POSITIVE,POSITIVE,0.8674296736717224,0.928,NEGATIVE,0.9583243727684021,2025-09-04T01:29:22.736903
strengthPlan,@strengthPlan,2025-09-03T19:25:26.000Z,"I like Tesla
I like FSD
I like Tesla stock

If I poor forever I poor forever

At least I don’t have to drive again or walk to my car and my car makes music  when it locks #tsla",,Twitter,Tesla stock,tweet,TSLA,0.6957132174110412,POSITIVE,POSITIVE,0.9437264800071716,0.0772,POSITIVE,0.9835420846939087,2025-09-04T01:29:22.736903
GMERICA,@GMEDividends,2025-09-03T19:24:08.000Z,"People said they same thing to Elon when he raised $5b off equity dilution in 2020. Tell me again what is the market cap of Tesla just 5 short years later? 
@grok
 educate this imbecile on the standard practice of dilution in the stock market for growth. Answer me quick!",@grok,Twitter,Tesla stock,tweet,TSLA,-0.8029775857162476,NEGATIVE,NEGATIVE,0.9970147609710693,-0.3489,NEGATIVE,0.9983389377593994,2025-09-04T01:29:22.736903
